used 
completed 
DemonHunter 
demonHunter 
Acidic Swamp Ooze 
Aldrachi Warblades 
Archmage 
Bloodfen Raptor 
Bluegill Warrior 
Booty Bay Bodyguard 
Boulderfist Ogre 
Chaos Nova 
Chaos Strike 
Chillwind Yeti 
Coordinated Strike 
Core Hound 
Dalaran Mage 
Darkscale Healer 
Dragonling Mechanic 
Elven Archer 
Frostwolf Grunt 
Frostwolf Warlord 
Glaivebound Adept 
Gnomish Inventor 
Goldshire Footman 
Grimscale Oracle 
Gurubashi Berserker 
Inner Demon 
Ironforge Rifleman 
Ironfur Grizzly 
Satyr Overseer 
Shaowhoof Slayer 
Sightless Watcher 
Soul Cleave 
